Frame,Time,m_avg_PelvisPosX,m_avg_PelvisPosY,m_avg_PelvisPosZ,m_avg_PelvisRotX,m_avg_PelvisRotY,m_avg_PelvisRotZ,m_avg_L_HipPosX,m_avg_L_HipPosY,m_avg_L_HipPosZ,m_avg_L_HipRotX,m_avg_L_HipRotY,m_avg_L_HipRotZ,m_avg_L_KneePosX,m_avg_L_KneePosY,m_avg_L_KneePosZ,m_avg_L_KneeRotX,m_avg_L_KneeRotY,m_avg_L_KneeRotZ,m_avg_L_AnklePosX,m_avg_L_AnklePosY,m_avg_L_AnklePosZ,m_avg_L_AnkleRotX,m_avg_L_AnkleRotY,m_avg_L_AnkleRotZ,m_avg_L_FootPosX,m_avg_L_FootPosY,m_avg_L_FootPosZ,m_avg_L_FootRotX,m_avg_L_FootRotY,m_avg_L_FootRotZ,m_avg_R_HipPosX,m_avg_R_HipPosY,m_avg_R_HipPosZ,m_avg_R_HipRotX,m_avg_R_HipRotY,m_avg_R_HipRotZ,m_avg_R_KneePosX,m_avg_R_KneePosY,m_avg_R_KneePosZ,m_avg_R_KneeRotX,m_avg_R_KneeRotY,m_avg_R_KneeRotZ,m_avg_R_AnklePosX,m_avg_R_AnklePosY,m_avg_R_AnklePosZ,m_avg_R_AnkleRotX,m_avg_R_AnkleRotY,m_avg_R_AnkleRotZ,m_avg_R_FootPosX,m_avg_R_FootPosY,m_avg_R_FootPosZ,m_avg_R_FootRotX,m_avg_R_FootRotY,m_avg_R_FootRotZ,m_avg_Spine1PosX,m_avg_Spine1PosY,m_avg_Spine1PosZ,m_avg_Spine1RotX,m_avg_Spine1RotY,m_avg_Spine1RotZ,m_avg_Spine2PosX,m_avg_Spine2PosY,m_avg_Spine2PosZ,m_avg_Spine2RotX,m_avg_Spine2RotY,m_avg_Spine2RotZ,m_avg_L_CollarPosX,m_avg_L_CollarPosY,m_avg_L_CollarPosZ,m_avg_L_CollarRotX,m_avg_L_CollarRotY,m_avg_L_CollarRotZ,m_avg_L_ShoulderPosX,m_avg_L_ShoulderPosY,m_avg_L_ShoulderPosZ,m_avg_L_ShoulderRotX,m_avg_L_ShoulderRotY,m_avg_L_ShoulderRotZ,m_avg_L_ElbowPosX,m_avg_L_ElbowPosY,m_avg_L_ElbowPosZ,m_avg_L_ElbowRotX,m_avg_L_ElbowRotY,m_avg_L_ElbowRotZ,m_avg_L_WristPosX,m_avg_L_WristPosY,m_avg_L_WristPosZ,m_avg_L_WristRotX,m_avg_L_WristRotY,m_avg_L_WristRotZ,m_avg_NeckPosX,m_avg_NeckPosY,m_avg_NeckPosZ,m_avg_NeckRotX,m_avg_NeckRotY,m_avg_NeckRotZ,m_avg_HeadPosX,m_avg_HeadPosY,m_avg_HeadPosZ,m_avg_HeadRotX,m_avg_HeadRotY,m_avg_HeadRotZ,m_avg_R_CollarPosX,m_avg_R_CollarPosY,m_avg_R_CollarPosZ,m_avg_R_CollarRotX,m_avg_R_CollarRotY,m_avg_R_CollarRotZ,m_avg_R_ShoulderPosX,m_avg_R_ShoulderPosY,m_avg_R_ShoulderPosZ,m_avg_R_ShoulderRotX,m_avg_R_ShoulderRotY,m_avg_R_ShoulderRotZ,m_avg_R_ElbowPosX,m_avg_R_ElbowPosY,m_avg_R_ElbowPosZ,m_avg_R_ElbowRotX,m_avg_R_ElbowRotY,m_avg_R_ElbowRotZ,m_avg_R_WristPosX,m_avg_R_WristPosY,m_avg_R_WristPosZ,m_avg_R_WristRotX,m_avg_R_WristRotY,m_avg_R_WristRotZ,
21,0.3140221,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
22,0.3394896,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
23,0.344636,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
24,0.3479948,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
25,0.3585961,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
26,0.3696708,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
27,0.3808649,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
28,0.3919123,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
29,0.403049,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
30,0.4140397,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
31,0.4253107,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
32,0.4388225,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
33,0.4473067,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
34,0.4585918,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
35,0.4696732,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
36,0.4841091,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
37,0.4951826,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
38,0.5050667,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
39,0.5142834,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
40,0.5251254,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
41,0.5362509,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
42,0.5473374,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
43,0.5584789,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
44,0.5695148,0.002109747,0.4051143,1.421743,0,0,0,-0.05474862,0.3252543,1.404599,0,0,0,-0.09692207,-0.04984844,1.412399,0,0,0,-0.08256675,-0.4641677,1.376072,0,0,0,-0.1224136,-0.5226805,1.494525,0,0,0,0.06064566,0.3172632,1.408599,0,0,0,0.10263,-0.05513972,1.403898,0,0,0,0.08413494,-0.4628311,1.370353,0,0,0,0.1179501,-0.5231099,1.496843,0,0,0,-0.002199129,0.5258589,1.384487,0,0,0,-0.006555557,0.6597578,1.410518,0,0,0,-0.07395115,0.8247889,1.394947,0,0,0,-0.1932572,0.8686644,1.376461,0,0,0,-0.4410793,0.8534756,1.35419,0,0,0,-0.6989737,0.8658003,1.347032,0,0,0,0.008638781,0.9195531,1.380806,0,0,0,-0.001176984,1.005875,1.429734,0,0,0,0.07615627,0.8233065,1.390279,0,0,0,0.1860543,0.8687817,1.382056,0,0,0,0.438531,0.854835,1.351707,0,0,0,0.6997243,0.8614289,1.345858,0,0,0,
